"","TCGA_AC_A2FM_01","TCGA_AC_A2FF_01","TCGA_AC_A2FB_01","TCGA_GI_A2C9_01","TCGA_BH_A1FE_01","TCGA_BH_A18V_01","TCGA_E2_A15K_01","TCGA_BH_A0B3_01","TCGA_BH_A0AZ_01","TCGA_BH_A0BJ_01","TCGA_BH_A0BS_01","TCGA_BH_A0BW_01","TCGA_BH_A0B7_01","TCGA_BH_A0H7_01","TCGA_A7_A13E_01","TCGA_A7_A13F_01","TCGA_E2_A15K.1_01","TCGA_BH_A18V.1_01","TCGA_BH_A18P_01","TCGA_BH_A18L_01","TCGA_BH_A1FR_01","TCGA_BH_A1EN_01","TCGA_BH_A1F8_01","TCGA_BH_A1FG_01","TCGA_BH_A1FH_01","TCGA_BH_A1FJ_01","TCGA_BH_A1EV_01","TCGA_E9_A1N4_01","TCGA_BH_A209_01","TCGA_BH_A203_01","TCGA_BH_A208_01","TCGA_BH_A204_01","TCGA_E2_A153_01","TCGA_A7_A0CE_01","TCGA_A7_A0CH_01","TCGA_BH_A0BV_01","TCGA_BH_A0BM_01","TCGA_BH_A0BC_01","TCGA_BH_A0E0_01","TCGA_BH_A0E1_01","TCGA_BH_A0DV_01","TCGA_BH_A0DT_01","TCGA_BH_A18N_01","TCGA_BH_A0DP_01","TCGA_BH_A0DK_01","TCGA_BH_A0DL_01","TCGA_BH_A0DG_01","TCGA_BH_A0DH_01","TCGA_BH_A0DD_01","TCGA_BH_A0C0_01","TCGA_BH_A0BZ_01","TCGA_BH_A0AY_01","TCGA_BH_A0BQ_01","TCGA_BH_A0AU_01","TCGA_BH_A0C3_01","TCGA_BH_A0BT_01","TCGA_BH_A0BA_01","TCGA_E2_A158_01","TCGA_BH_A0HA_01","TCGA_BH_A0H5_01","TCGA_BH_A0HK_01","TCGA_BH_A0H9_01","TCGA_BH_A0B5_01","TCGA_A7_A0DB_01","TCGA_A7_A0D9_01","TCGA_BH_A18U_01","TCGA_BH_A18S_01","TCGA_BH_A18Q_01","TCGA_BH_A18R_01","TCGA_BH_A18M_01","TCGA_BH_A18J_01","TCGA_E2_A1BC_01","TCGA_E2_A15M_01","TCGA_BH_A1EO_01","TCGA_BH_A1EU_01","TCGA_BH_A1ET_01","TCGA_BH_A1F0_01","TCGA_BH_A1F2_01","TCGA_BH_A1EW_01","TCGA_BH_A1FE.1_01","TCGA_BH_A1FD_01","TCGA_BH_A1FC_01","TCGA_BH_A1FB_01","TCGA_BH_A1FM_01","TCGA_BH_A1FN_01","TCGA_BH_A1F6_01","TCGA_E2_A15I_01","TCGA_E2_A1L7_01","TCGA_E2_A1LS_01","TCGA_E9_A1R7_01","TCGA_E9_A1RB_01","TCGA_E9_A1RC_01","TCGA_E9_A1RD_01","TCGA_E9_A1RF_01","TCGA_E9_A1RH_01","TCGA_E9_A1RI_01","TCGA_E2_A1IG_01","TCGA_E2_A1LB_01","TCGA_E9_A1ND_01","TCGA_E9_A1N5_01","TCGA_E9_A1N6_01","TCGA_E9_A1N9_01","TCGA_E9_A1NA_01","TCGA_E9_A1NF_01","TCGA_E9_A1NG_01","TCGA_GI_A2C8_01"
"FOXO3",0.1707,0.22385,-0.063978,0.29081,0.024545,-0.15222,0.33365,0.18512,0.10695,0.027791,0.14511,-0.11209,0.30867,0.14099,-0.056003,0.093393,0.04034,-0.25945,-0.091688,0.079749,0.02622,-0.014408,0.12988,-0.16542,0.079046,-0.2037,0.27699,-0.1923,0.0022173,0.74203,0.13355,-0.075544,-0.2117,-0.21614,-0.14888,-0.037386,0.024599,0.17447,0.10873,0.33595,0.35753,0.059613,-0.10323,0.153,0.063282,-0.10634,0.1953,0.0068907,0.029099,0.10398,-0.20825,0.36006,0.091594,-0.090033,-0.23763,0.30291,0.36999,0.056013,-0.0099786,0.057743,0.095336,-0.012725,0.26534,0.038256,0.25257,0.17733,-0.31656,0.18647,0.20664,0.19632,0.40482,0.12352,0.099242,0.056486,-0.094396,-0.052221,-0.13676,0.11511,0.1385,0.22864,-0.19516,-0.07546,0.13566,-0.12686,0.049428,0.07757,0.5006,0.056265,0.45164,0.15776,0.055463,0.074472,0.025745,0.10276,0.9835,0.066722,-0.04078,0.60389,0.20375,0.029425,0.041951,0.21698,-0.17497,0.078144,0.069419,0.53751
"GAB2",0.58903,-0.29125,-0.13308,0.3056,0.29975,-0.13441,-0.18193,0.016144,-0.057093,0.28131,0.69612,-0.087992,-0.13418,-0.23219,2.1048,-0.072446,-0.2771,0.50098,-0.2794,-0.18426,0.20414,2.2766,0.96481,0.56977,-0.06578,0.30113,-0.47752,0.12547,0.30958,-0.18797,0.41164,0.26328,-0.11604,-0.36285,-0.53284,0.29897,-0.53073,0.91762,-0.17048,-0.26939,-0.34664,-0.22677,1.2472,-0.055457,-0.167,-0.22754,0.073362,-0.046002,1.0077,0.23785,-0.21604,-0.53002,-0.44653,-0.35194,-0.20648,-0.1913,-0.54295,0.75073,-0.59338,-0.3395,-0.4852,-0.18604,-0.15213,-0.13924,-0.46291,0.46428,-0.60005,0.39628,0.0044777,-0.019501,0.20767,-0.45808,0.076764,-0.26993,-0.02526,-0.20666,0.95594,-0.40282,0.17091,-0.44369,0.28,0.59691,0.098812,-0.17688,0.50267,0.023248,-0.18023,0.34292,1.0589,0.6265,0.61638,0.29144,-0.32129,-0.12721,0.068893,-0.16385,0.13868,-0.54573,0.31562,-0.27465,-0.58335,0.12909,-0.3473,-0.1463,-0.27814,0.14534
"GATA3",2.861,1.2774,0.26796,-0.11977,-0.25134,1.2555,2.8753,0.07385,2.0588,2.8663,3.1911,0.19329,0.83422,0.55484,0.0053635,2.5242,2.7563,0.26575,2.9075,2.1721,2.8602,-0.47353,1.4913,2.3945,1.2327,2.9317,2.2146,2.5898,2.131,1.4179,-0.073696,3.4574,1.8208,0.21115,2.589,3.4294,2.0656,1.9529,1.1648,1.1186,1.6059,3.4162,2.6403,0.27003,2.6298,0.16628,2.0638,2.4176,2.4765,1.8676,1.6522,2.5645,2.0932,1.9971,0.98991,1.2511,1.7503,0.22088,2.2363,2.4645,2.7601,2.2314,0.50756,1.9595,2.0564,1.5847,2.942,0.23306,2.6285,1.6857,1.1,1.6719,2.4601,1.4771,2.4396,2.7217,-0.45836,1.777,1.972,1.9663,2.4924,-0.3498,1.2318,3.2867,1.7569,-0.17003,2.2939,2.3342,0.34639,2.8377,2.8598,2.8738,2.7056,2.9288,-0.40336,1.956,3.0462,0.35096,0.74806,2.7506,2.5021,2.2114,3.5872,2.0675,2.0665,1.3746
"GSK3A GSK3B",-0.098027,-0.27703,-0.89199,-0.44471,-0.39778,-0.59319,-0.2125,-0.2043,-0.17919,0.11023,0.1596,0.0014006,0.2278,-0.82895,-0.39477,0.14622,0.029626,-0.29777,0.098452,-0.41588,0.0093743,-0.34098,0.16852,0.0062755,-0.25081,-0.14484,0.084106,-0.35722,-0.080725,0.21112,-0.043334,0.1033,-0.069388,-0.075201,0.13137,0.2017,-0.1466,-0.19612,0.19401,-0.33586,-0.32142,0.072533,-0.30841,-0.40158,0.2428,-0.0026153,-0.15942,0.0097721,0.037196,-0.19432,0.069674,0.062875,-0.073057,0.085352,0.049312,-0.17044,-0.47609,0.17729,0.088035,-0.068616,-0.33714,0.14545,-0.64715,0.083494,-0.3412,-0.16802,-0.08298,-0.024771,-0.014687,-0.17671,-0.35389,-0.28855,-0.040574,-0.05582,0.053562,0.037808,-0.26076,-0.028953,-0.19874,-0.13212,-0.042277,0.38707,-0.217,0.1549,-0.097793,-0.42938,-0.29825,0.028058,-0.11668,0.00032066,0.21346,-0.57205,0.019047,0.055106,-0.68025,0.02631,-0.061505,-0.21138,-0.1373,0.15027,0.089644,-0.055597,0.040565,-0.42903,-0.20681,-0.38153
"ERBB2",1.1091,0.33036,0.076741,-0.4345,-0.69598,-0.082359,0.79928,-0.45593,-0.33701,0.020262,1.5421,-0.26271,3.3806,-0.71732,0.50057,1.1018,0.77153,0.22487,0.70033,0.42108,-0.2201,3.5792,0.55488,0.35115,-0.52087,0.9517,2.9157,0.41204,-0.23049,-0.18029,0.89271,0.58712,0.71572,0.37191,0.40704,0.22812,0.37459,-0.56253,0.076836,-0.50921,0.33912,0.18918,0.39151,-1.0004,-0.30311,-0.62632,-0.39377,0.23347,1.9788,0.72287,-0.10874,-1.1011,0.88009,-0.16771,0.20074,0.18187,-0.038669,-0.094026,-0.12566,-0.064616,0.47322,-0.054907,-0.53364,0.30563,0.34235,1.1341,1.1341,-0.092408,2.2956,-0.41465,-0.45875,-0.036616,-0.19915,-0.29534,0.16281,0.79443,0.39026,2.6574,0.030636,-0.41142,0.29365,-0.48303,-0.022729,0.50796,0.2795,-0.099591,-0.14365,0.092251,0.045964,0.68444,-0.079242,0.30838,0.81728,0.51121,0.11877,0.77804,0.81738,3.1099,-0.29141,0.12425,0.1448,0.38508,0.06341,0.31217,0.16345,-0.69319
"ERBB3",1.6299,-0.013637,-0.3297,0.17826,-0.40663,-0.3381,0.68796,-0.32602,0.62483,0.10617,0.19268,-0.66645,-0.10639,0.26462,0.94362,1.0504,0.094495,-0.20836,1.1447,0.35151,0.62547,0.12164,0.16377,0.22171,-0.4083,1.1073,0.82382,0.62864,0.64553,-0.3279,-0.26191,0.28288,0.80502,0.25322,0.049237,0.81808,1.7942,0.70475,0.51322,0.56791,2.9303,0.59786,-0.048374,0.60211,0.42668,-0.19646,1.0288,0.86633,0.7422,0.3146,0.2357,0.11518,-0.07088,0.18463,0.050076,0.96221,0.35949,-0.055723,-0.15642,-0.020955,0.21042,0.53461,0.54218,0.16366,0.64034,0.090138,-0.059244,-0.060588,-0.36625,0.28617,0.21744,0.31238,0.82256,-0.26949,0.25122,0.50057,0.01303,0.31428,-0.059163,-0.22109,0.21194,0.064922,-0.37698,0.47218,-0.45078,-0.096811,0.06435,-0.17596,0.69208,0.25599,0.12252,0.78624,0.67187,0.069826,0.2245,0.061702,0.3764,0.065747,-0.35106,0.42224,-0.02764,0.2252,0.46346,0.052248,0.24427,0.15379
"HSPA1A",0.049496,1.3433,2.5228,-0.18212,2.0974,0.5199,-0.79249,1.245,1.098,0.7182,-0.17851,0.53107,0.85299,2.3815,-0.12052,-0.27651,0.55987,-0.24089,-0.16686,2.0347,-0.40761,0.69633,0.13835,0.11974,3.6758,-0.25527,0.51575,1.0862,-0.58437,0.24817,0.035736,-0.091154,-0.70061,0.12944,0.018825,-0.29625,0.9184,0.020988,0.083376,2.7837,0.43283,0.43626,0.44281,1.126,-0.019641,0.54753,1.2353,0.10789,0.27782,-0.1824,-0.14979,0.41011,-0.6004,1.0499,0.75151,0.38623,0.67637,-0.24963,0.23741,0.34935,0.17271,0.91332,3.2292,-0.47963,2.1369,1.7889,-0.9152,-0.54067,-0.3491,0.37799,1.0157,-0.6169,1.5329,0.47704,-0.14705,0.59648,-0.04906,0.39331,0.26931,2.087,-0.43398,0.01651,0.92658,-0.11556,1.0974,2.0023,1.2621,0.22133,-0.29502,0.76164,0.33067,2.8932,-0.39146,0.068181,1.2434,0.11173,0.25416,0.50452,0.22031,-0.7147,0.86339,-0.19185,0.12304,1.2184,0.94828,0.1733
"IGFBP2",0.59683,-0.20908,-0.27171,-0.84891,-0.46898,-1.4583,0.492,0.4826,-0.49126,0.80934,1.1997,-0.85138,0.67785,0.58848,-1.7836,0.7398,0.41685,-1.7802,-0.85209,-0.14956,-0.19597,2.8502,0.048445,1.0849,-0.46183,1.198,1.3979,-0.52395,1.3817,-1.0286,-0.84392,-0.58617,0.27307,-0.9013,0.59668,1.014,-0.72196,0.65093,-0.97165,0.21316,-0.034321,-0.44315,-0.045404,-1.1709,1.89,-1.5988,0.21472,0.17775,0.17108,1.022,-0.32755,1.0134,0.413,0.29185,-0.41683,0.19278,0.18454,0.93685,0.80249,0.88039,1.6777,1.7899,-0.44446,0.42188,0.65019,0.8757,1.1894,-0.98921,0.24574,0.16588,1.0216,0.29425,2.1761,-0.30635,1.0462,2.5142,-0.31074,-0.34168,0.70713,0.98806,-0.045334,-1.8831,0.19371,0.31101,1.2015,0.26366,0.18886,1.0471,-1.287,1.0167,0.63427,-0.013807,0.1964,-1.2037,-0.59168,-0.49642,0.13261,-0.90522,-1.6066,0.036656,0.31528,0.26953,-1.6588,1.947,0.45618,1.6848
"INPP4B",1.5045,2.7474,1.0428,-0.16531,-0.20939,-0.72466,2.7973,-0.65628,0.87238,1.4203,2.6592,-0.0025269,1.1782,1.0458,-0.37462,1.7439,3.0031,-0.65979,2.1464,1.7666,-0.10525,0.59856,1.2565,3.3368,1.9082,3.1502,1.2269,0.9136,1.9639,1.6276,0.51293,1.2309,2.8999,0.82887,3.2512,0.68235,1.1843,2.163,0.012002,0.79295,2.0137,2.6301,4.6437,-0.45418,1.8961,-0.10616,1.2271,1.8652,3.6796,1.548,1.1784,-0.046085,1.4762,1.6636,2.4743,2.2594,-0.087222,-0.063657,1.6377,2.6853,4.6869,1.9295,-0.17365,1.0499,1.9678,-1.676,1.6291,0.036766,1.7309,1.1448,0.86699,1.2752,1.03,2.2829,2.137,1.1611,0.37469,2.1257,1.4592,1.0852,0.72006,-0.66482,1.8809,3.072,0.78624,-0.57408,0.72821,0.83491,-0.45768,1.4872,-0.74426,1.5882,1.3339,2.1525,-0.095095,2.2516,2.8621,1.9492,-0.63981,2.0973,0.66581,0.67281,3.0064,0.80316,2.0525,0.97488
"IRS1",0.72599,0.33334,0.26319,0.20612,0.27588,-0.083252,0.082967,-0.13503,0.24067,0.27692,0.072833,-0.10134,0.016377,0.29129,0.0036865,0.77276,0.095487,0.030373,-0.044808,1.0388,0.099773,-0.064821,0.44744,-0.23823,0.40979,0.61371,-0.0028167,-0.00018177,0.74836,0.070533,0.20832,0.81532,0.95283,-0.45358,0.68693,0.79217,-0.080671,0.093174,-0.42155,0.39995,0.31515,0.10077,0.99941,-0.031014,-0.071266,-0.22976,0.77485,-0.20386,0.4461,-0.2166,-0.16243,0.16878,0.042201,0.20878,0.18695,0.10842,0.42288,-0.21623,0.087284,0.43565,0.41821,0.52304,0.51183,0.48336,0.70822,0.89185,0.18625,0.11037,-0.33199,0.1395,0.61749,0.14097,0.45768,0.33069,0.32538,0.36663,0.19294,-0.073546,0.32118,0.25178,-0.15328,0.67085,0.1163,0.12389,0.23835,-0.16799,0.11313,0.3576,0.42033,0.4046,0.91475,0.20483,0.96103,0.54529,0.42162,0.17094,-0.086487,-0.13128,-0.33071,0.36825,0.030955,0.37387,1.9072,0.81412,0.26222,0.076294
"MAPK8",0.33275,0.43938,0.46546,0.18567,0.25055,-0.2178,-0.23113,0.1551,-0.0049215,-0.16134,-0.081095,0.036929,-0.15463,0.36273,-0.0046866,-0.0072326,0.40191,-0.14174,0.27533,0.066435,0.37655,0.30154,0.31759,0.29106,0.42144,-0.11778,0.79436,0.53252,0.16318,0.30226,0.46201,-0.19297,-0.1765,0.26182,0.56356,-0.20008,0.43673,0.43961,-0.22193,0.72328,0.32599,0.45973,-0.09763,0.13019,-0.18861,0.40381,0.081682,0.27376,-0.32514,0.20211,0.025811,0.37663,0.68825,0.28298,0.39363,0.22347,0.2053,-0.21656,0.38157,-0.12434,0.53953,0.50802,0.20528,0.13761,0.072512,0.076557,-0.045038,0.16118,0.24548,0.37121,0.33795,0.39764,0.065644,1.1538,1.141,0.84464,-0.23772,0.50133,0.15268,0.087954,0.66356,-0.11714,0.51553,0.10435,0.63571,0.083653,0.17354,-0.29056,-0.029187,0.15822,0.33581,0.031767,0.1989,-0.1517,-0.046285,0.30256,-0.0015464,0.035031,-0.19311,0.035728,0.020525,-0.15733,0.38295,0.14143,-0.038774,0.25708
"MAPK9",-0.073248,-0.062045,-0.49983,0.048795,0.089528,0.25687,0.27199,-0.45505,0.43566,0.55418,0.47889,-0.11044,0.84016,-0.31969,-0.27122,0.63757,0.84862,-0.018762,1.0399,-0.048546,0.24454,0.085234,0.004119,0.26274,0.27712,1.2671,0.46656,0.36634,0.25908,0.29174,0.33947,0.41524,0.11517,-0.59698,0.6478,1.1718,0.028807,0.19693,-0.32411,0.14508,0.33576,0.40167,0.72293,0.27262,0.36181,-0.1216,0.65854,0.14628,0.1922,-0.19392,-0.086906,0.10346,0.23758,0.27569,0.0388,-0.47973,0.44825,-0.41548,0.3057,0.64228,0.17987,0.19212,0.35445,0.70354,0.22988,0.89796,0.36051,-0.10394,-0.075942,0.61803,0.10415,0.17489,0.49747,0.26703,0.30567,0.42355,0.03536,0.30712,0.40969,-0.0027278,0.33221,0.28399,0.20829,-0.17879,0.018364,-0.18903,0.10029,0.221,0.082043,-0.0088176,-0.12086,0.30217,0.80119,0.17508,0.31956,0.15346,-0.07627,0.11648,-0.18776,0.79853,0.059718,-0.0051359,-0.18949,-0.053026,0.05376,-0.18937
"XRCC5",-0.46082,-0.32524,-0.85087,-0.052159,-0.28707,-0.055128,-0.072082,-0.3915,-0.37358,-0.11556,-0.30258,-0.13314,-0.26642,-1.0844,0.20248,0.4241,0.11669,-0.16297,0.21526,-0.45691,-0.096071,-0.31577,-0.28052,-0.039615,-0.42384,0.28511,-0.065599,-0.31312,-0.034557,0.39363,0.045108,0.23922,-0.27669,-0.653,0.020951,-0.082317,0.010088,-0.27898,0.088204,-0.54024,-0.60059,-0.29434,-0.097629,-0.67355,0.21147,-0.70758,-0.67474,-0.52772,-0.017438,-0.11963,-0.040743,-0.71393,-0.438,-0.56182,-0.37671,-0.87994,-0.75025,0.41696,-0.40834,-0.042063,-0.071501,0.0035642,-0.61361,-0.53048,-0.30538,-0.27213,0.29315,0.25785,0.07375,-0.66715,-0.95089,-0.075529,-0.26861,-0.25564,-0.49958,-0.13675,-0.23688,-0.29127,-0.46548,-0.10439,0.21822,-0.17189,-0.23765,-0.27099,0.027926,-0.64543,-0.48679,0.33882,0.38924,-0.014748,-0.14005,-0.59343,-0.040111,-0.031521,-0.6119,0.027543,0.25373,-0.11605,-0.25356,0.39691,-0.49674,-0.079409,-0.45416,-0.18332,-0.40835,-0.64074
"LCK",-0.63291,0.074338,0.17722,-0.29228,-0.23771,0.78847,-0.87467,0.18392,0.031513,0.29461,-0.70566,0.47898,0.54497,0.05797,0.094002,-0.54293,0.46031,0.025929,-0.23862,-0.2404,-0.0062218,-0.24856,-0.26133,-0.10921,-5.91e-05,-0.3511,-0.39909,-0.65743,0.10776,-0.35818,0.057831,-0.76447,-0.64236,-0.41461,-0.75784,0.21177,-0.17793,0.62069,-0.39923,0.082596,-0.11147,0.00023314,-0.98665,0.62723,-0.1039,0.72489,0.16769,0.83697,-0.21997,0.69353,0.35768,0.51966,0.42481,0.093877,0.12633,0.16143,-0.24245,-0.32955,0.26017,1.1879,-0.7444,-0.37828,0.78359,-0.34052,-0.25244,0.49007,-0.98998,0.19516,-0.066102,0.10125,0.12223,-0.16899,0.37829,-0.89004,0.16536,-0.49465,0.62743,-0.37488,0.30475,0.37994,-0.2645,0.40766,0.66889,-0.49823,-0.18982,0.47513,0.87322,0.36534,-0.53475,0.29442,-0.51349,-0.70897,-0.63088,-0.05991,0.70877,-0.014086,-0.63102,-0.068414,0.69612,0.11955,-0.17091,-0.25411,-0.52455,-0.097277,-0.2204,-0.11681
"STK11",-0.060728,0.18316,0.52074,-0.001565,0.17084,0.0018365,-0.17799,0.039713,0.30905,0.22185,0.062883,-0.10223,-0.041202,0.63229,-0.31537,0.013663,0.17367,-0.24889,-0.10968,0.11894,0.023035,-0.14781,0.098511,0.31406,0.63548,0.0092317,-0.060664,0.10925,-0.19143,0.046553,0.034417,-0.057592,0.11214,-0.35856,0.28908,0.27567,0.10972,0.04274,-0.032933,0.099576,0.17826,0.1939,0.084836,0.071105,0.27831,0.0099462,0.071796,0.052293,0.30422,0.066674,-0.017067,0.11759,0.07217,-0.24666,-0.042733,0.14263,-0.069043,-0.10319,0.2179,0.013148,0.062234,0.020278,0.030153,0.22699,0.054061,-0.38444,0.10454,-0.038048,-0.072765,0.10126,0.050026,-0.095984,-0.020054,0.46777,0.096813,0.24478,-0.16193,-0.018203,0.0038678,0.26629,0.0036849,-0.10742,0.25273,0.047932,0.13498,0.099308,0.45212,0.11668,-0.26719,-0.058273,-0.15064,0.085013,0.18015,-0.14536,-0.025076,0.6189,0.14986,0.016779,-0.099798,0.025212,0.093081,0.12478,-0.096863,0.04615,0.10057,0.10546
"MAPK1 MAPK3",0.66394,1.0313,1.2101,0.21569,0.40319,-0.12483,0.80915,0.87363,-0.54603,-0.63985,-0.71288,0.79696,-0.69003,1.2687,1.1178,-0.38423,1.2436,-0.030823,1.1138,-0.079243,0.54614,0.80035,1.2793,0.68758,0.77624,-0.026586,1.1855,0.23005,-0.050519,0.95826,-0.34535,-0.58817,0.95386,1.3235,1.0618,-0.13236,1.1083,0.56514,-0.41164,-0.056547,-0.70803,1.1231,0.79674,0.60535,-0.7693,1.2178,0.80395,1.1825,-0.042331,0.41336,0.69016,-0.073212,-0.91534,0.43168,1.4359,0.54024,0.81398,1.0154,0.50772,-0.42925,-0.064357,0.78486,0.35816,1.0805,0.76848,1.6115,-0.67526,-0.42356,0.096251,1.3749,1.2628,1.1902,0.0099709,1.9079,2.2244,0.65406,0.15856,1.4136,1.5027,-0.11445,1.2244,-0.13149,1.3845,0.26531,1.4873,0.32136,-0.073963,-0.11417,0.1891,1.2945,0.38529,-0.30009,1.0209,0.62921,1.1817,1.1729,0.53098,0.95048,-0.20341,0.25002,-0.025077,-0.4169,1.1559,0.37683,0.40182,0.76111
"MAP2K1",-0.29785,0.22175,0.15551,0.60876,0.10105,0.10652,-0.042376,-0.2435,0.73044,0.66567,0.021333,0.63163,0.53022,0.19316,0.14045,0.27326,0.27226,0.53859,0.086808,0.21698,0.25578,0.46979,0.12979,0.36566,0.61221,-0.0734,-0.10617,0.2608,0.43029,0.45706,0.46267,0.16013,-0.040752,0.44959,0.26792,0.60614,0.12017,0.34934,0.1962,0.19381,0.41496,0.20129,0.52647,0.71853,0.26341,0.81715,0.32261,0.4202,0.27735,0.18878,-0.13174,0.34549,0.065714,-0.01129,0.4511,0.17794,0.29037,-0.38524,0.085617,0.27404,0.14954,-0.1346,0.44612,0.17656,0.97903,1.1817,0.37788,0.27246,0.0068618,0.38362,0.39704,0.32673,-0.093475,0.017632,0.28481,0.21733,0.14551,0.19931,0.55506,0.34241,0.60548,-0.096383,0.43932,-0.066375,0.33134,0.58219,0.26253,-0.057427,-0.29336,0.5575,-0.19057,0.26564,0.18714,0.19192,0.97178,-0.16346,0.028132,0.22963,-0.16652,-0.061359,-0.043899,-0.14371,0.080021,0.19109,0.19174,-0.15121
"ERRFI1",0.21688,-0.064423,0.049029,-0.059561,0.11177,0.34511,-0.13628,0.036395,-0.088315,0.0842,0.50698,0.02807,-0.075172,0.17329,0.0056338,-0.036474,0.095866,0.33798,0.13103,-0.16339,-0.039257,-0.43671,-0.30121,-0.18257,0.11542,0.20863,0.011066,0.26088,-0.06852,-0.1103,-0.13509,0.019682,-0.19961,0.13707,-0.24164,-0.074731,-0.079015,-0.038399,-0.015977,0.20452,0.17582,0.0050621,-0.078126,-0.13547,0.050865,-0.26138,-0.15604,0.017811,-0.18119,-0.22685,-0.25505,0.0095235,-0.083048,0.013022,-0.039951,-0.20781,0.007605,-0.17575,-0.054691,-0.058088,-0.018607,-0.084927,0.2261,-0.11729,0.030012,0.62998,-0.14669,-0.089724,-0.02292,-0.17396,-0.15399,-0.12308,0.010592,-0.066623,-0.13195,-0.08762,-0.031801,-0.18223,-0.18677,-0.10289,-0.17822,-0.034177,-0.057547,-0.1564,-0.030292,-0.043419,0.014331,-0.004257,0.022239,0.035083,-0.19784,0.068617,-0.17125,-0.12704,-0.18939,-0.16661,0.028694,-0.068524,0.18241,-0.16548,-0.16417,0.081444,-0.1376,-0.12144,-0.075431,0.015979
"MRE11A",0.078127,0.52299,0.91442,0.11688,0.12476,-0.016633,-0.12762,0.070139,0.37108,0.14186,0.047181,0.081522,0.10336,0.90589,-0.075429,0.21015,-0.027268,-0.069175,-0.15866,0.57591,0.14667,0.011281,0.19927,0.097447,0.71408,0.17316,0.014041,0.27382,0.072597,0.33922,0.062897,0.11357,0.043916,0.035548,0.16851,0.11539,0.21789,0.059112,0.15227,0.47798,0.33409,0.21351,0.30105,0.051162,0.21265,0.18005,0.10542,-0.03931,0.12024,0.17535,0.19018,0.060061,0.24883,0.023942,0.20002,0.36162,0.38993,-0.00018067,0.33524,0.019,0.044202,0.11245,0.49846,0.17383,0.27731,-0.30456,0.19684,0.23503,0.19675,-0.23324,0.49979,-0.57298,-0.045548,0.26425,0.056696,0.043957,0.052363,0.18378,0.064457,0.35017,0.057004,0.23033,0.21429,0.24698,0.29995,0.26913,0.36235,0.21021,0.023083,0.14034,0.0028436,0.40176,0.071247,0.30752,0.093298,0.17052,0.088582,0.31081,0.038052,-0.074158,0.18168,0.11216,0.031419,0.28808,0.25663,0.26446
"MTOR",0.0029638,-0.21389,-0.53536,0.037706,-0.14609,-0.60524,0.19878,-0.37482,-0.1462,0.031919,0.33825,-0.065733,-0.051184,-0.84503,-0.29596,0.14588,-0.057704,-0.7573,0.018086,-0.05715,0.27778,-0.066591,-0.0061174,0.32186,-0.29618,0.45901,-0.58367,-0.058908,0.12167,0.042919,-0.30857,-0.085883,0.38126,0.11987,0.29726,0.49459,0.043482,-0.37147,-0.062895,-0.3844,-0.32706,-0.15661,0.016886,-0.3948,0.14773,-0.12821,-0.21115,-0.19631,0.13553,-0.033774,0.35435,-0.41849,-0.19463,-0.054297,-0.053894,-0.41563,-0.59191,0.26592,-0.12807,0.082012,0.084737,0.03514,-0.61081,-0.21584,-0.48549,-0.24977,0.46194,-0.25015,-0.26878,-0.45444,-0.5242,-0.29376,-0.23469,-0.65836,-0.23869,0.090236,-0.21794,-0.5598,-0.5838,-0.47659,-0.30008,-0.087955,-0.25391,0.1547,0.038842,-0.41884,-0.62969,0.23711,0.053362,0.24304,0.30951,-0.21431,0.38338,0.25045,-0.62283,0.29617,0.58069,-0.073628,0.14795,0.22706,-0.32833,0.29429,-0.15783,-0.18069,0.0087632,-0.46695
"CDH2",-0.4153,0.24316,0.65121,-0.060759,0.61709,0.25536,-0.46691,-0.19147,-0.056021,-0.24525,-0.45368,-0.11667,-0.20417,0.56247,0.0085205,-0.12153,0.45709,0.11366,-0.081931,0.53582,-0.27387,-0.12859,0.0018319,-0.27283,0.71941,0.047648,0.13128,-0.0081615,-0.33866,0.021908,-0.019829,-0.20384,-0.44088,-0.40701,-0.20072,-0.24939,0.014457,-0.16954,-0.35602,0.45043,0.42431,-0.27963,-0.17307,0.45987,-0.065732,-0.20231,0.22263,-0.12198,-0.40625,-0.23798,-0.12858,0.34132,0.13874,0.19016,-0.083085,-0.013708,0.61108,-0.49349,-0.01409,-0.25895,-0.2585,-0.41476,0.70319,-0.28002,0.43529,1.02,-0.27877,-0.51584,-0.29242,-0.31693,0.43165,-0.38512,0.17113,-0.14855,-0.23294,-0.13941,-0.25454,-0.025395,0.048722,0.43273,-0.43016,0.019689,0.17447,-0.12492,0.067707,0.24099,0.61213,-0.043694,0.10331,0.12152,-0.15269,0.51618,-0.20384,0.17786,0.82629,-0.028431,-0.29661,0.45367,-0.21847,-0.40227,-0.39241,-0.33318,-0.47618,0.044059,-0.053228,0.35434
